,,,,,,,,,,
,Date,Category A,Customer,Qty Sold,Revenue,Quarter,,,,
98,11/19/2017,A,2,27,"6,162,990",2017Q4,,,,
99,11/19/2017,A,1,24,"10,316,160",2017Q4,,,,
100,11/20/2017,A,2,41,"7,269,420",2017Q4,,,,
101,11/20/2017,A,1,42,"16,272,500",2017Q4,,,,
102,11/21/2017,A,1,130,"69,667,760",2017Q4,,,,
103,11/21/2017,A,2,137,"19,444,431",2017Q4,,,,
104,11/22/2017,A,1,141,"57,525,300",2017Q4,,,,
105,11/22/2017,A,2,80,"16,203,676",2017Q4,,,,
106,11/23/2017,A,2,95,"17,052,090",2017Q4,,,,
107,11/23/2017,A,1,118,"54,824,300",2017Q4,,,,
108,11/24/2017,A,2,169,"31,705,343",2017Q4,,,,
109,11/24/2017,A,1,238,"136,283,200",2017Q4,,,,
110,11/25/2017,A,1,43,"21,462,550",2017Q4,,,,
111,11/25/2017,A,2,49,"9,007,359",2017Q4,,,,
112,11/26/2017,A,2,37,"7,639,234",2017Q4,,,,
113,11/26/2017,A,1,34,"19,122,500",2017Q4,,,,
114,11/27/2017,A,1,55,"28,637,600",2017Q4,,,,
115,11/27/2017,A,2,48,"10,035,152",2017Q4,,,,
116,11/28/2017,A,1,45,"19,823,100",2017Q4,,,,
117,11/28/2017,A,2,49,"10,657,617",2017Q4,,,,
118,11/29/2017,A,2,43,"8,904,093",2017Q4,,,,
119,11/29/2017,A,1,44,"25,106,700",2017Q4,,,,
120,11/30/2017,A,1,42,"16,394,500",2017Q4,,,,
121,11/30/2017,A,2,52,"9,536,232",2017Q4,,,,
122,12/1/2017,A,1,49,"30,370,200",2017Q4,,,,
123,12/1/2017,A,2,47,"12,578,579",2017Q4,,,,
124,12/2/2017,A,2,39,"7,031,633",2017Q4,,,,
125,12/2/2017,A,1,42,"21,187,800",2017Q4,,,,
126,12/3/2017,A,1,36,"17,310,600",2017Q4,,,,
127,12/3/2017,A,2,33,"6,322,664",2017Q4,,,,
128,12/4/2017,A,1,38,"15,938,850",2017Q4,,,,
129,12/4/2017,A,2,50,"11,983,926",2017Q4,,,,
130,12/5/2017,A,2,43,"10,321,220",2017Q4,,,,
131,12/5/2017,A,1,40,"17,733,600",2017Q4,,,,
132,12/6/2017,A,2,52,"10,711,039",2017Q4,,,,
133,12/6/2017,A,1,49,"18,061,700",2017Q4,,,,
134,12/7/2017,A,1,35,"13,511,900",2017Q4,,,,
135,12/7/2017,A,2,40,"8,696,137",2017Q4,,,,
136,12/8/2017,A,1,47,"19,110,000",2017Q4,,,,
137,12/8/2017,A,2,32,"7,004,037",2017Q4,,,,
138,12/9/2017,A,2,29,"5,443,550",2017Q4,,,,
139,12/9/2017,A,1,34,"15,898,850",2017Q4,,,,
140,12/10/2017,A,2,22,"4,811,500",2017Q4,,,,
141,12/10/2017,A,1,29,"12,687,900",2017Q4,,,,
142,12/11/2017,A,2,35,"6,667,994",2017Q4,,,,
143,12/11/2017,A,1,43,"22,137,600",2017Q4,,,,
144,12/12/2017,A,2,153,"23,696,054",2017Q4,,,,
145,12/12/2017,A,1,214,"114,516,910",2017Q4,,,,
146,12/13/2017,A,1,110,"65,634,413",2017Q4,,,,
147,12/13/2017,A,2,73,"12,237,097",2017Q4,,,,
148,12/14/2017,A,2,70,"12,735,467",2017Q4,,,,
149,12/14/2017,A,1,101,"59,958,200",2017Q4,,,,
150,12/15/2017,A,2,62,"12,928,419",2017Q4,,,,
151,12/15/2017,A,1,116,"59,088,100",2017Q4,,,,
152,12/16/2017,A,2,41,"6,615,750",2017Q4,,,,
153,12/16/2017,A,1,46,"23,100,600",2017Q4,,,,
154,12/17/2017,A,1,58,"30,275,550",2017Q4,,,,
155,12/17/2017,A,2,45,"6,740,900",2017Q4,,,,
156,12/18/2017,A,1,40,"16,586,650",2017Q4,,,,
157,12/18/2017,A,2,57,"10,668,156",2017Q4,,,,
158,12/19/2017,A,1,41,"16,832,300",2017Q4,,,,
159,12/19/2017,A,2,56,"12,342,819",2017Q4,,,,
160,12/20/2017,A,2,46,"8,979,197",2017Q4,,,,
161,12/20/2017,A,1,38,"17,382,700",2017Q4,,,,
162,12/21/2017,A,1,34,"19,677,300",2017Q4,,,,
163,12/21/2017,A,2,55,"11,882,340",2017Q4,,,,
164,12/22/2017,A,2,45,"8,842,700",2017Q4,,,,
165,12/22/2017,A,1,40,"21,394,600",2017Q4,,,,
166,12/23/2017,A,2,32,"5,348,597",2017Q4,,,,
167,12/23/2017,A,1,33,"18,172,450",2017Q4,,,,
168,12/24/2017,A,1,26,"19,145,800",2017Q4,,,,
169,12/24/2017,A,2,29,"6,654,940",2017Q4,,,,
170,12/25/2017,A,1,78,"76,593,033",2017Q4,,,,
171,12/25/2017,A,2,50,"9,870,298",2017Q4,,,,
172,12/26/2017,A,1,72,"32,801,750",2017Q4,,,,
173,12/26/2017,A,2,46,"9,102,988",2017Q4,,,,
174,12/27/2017,A,1,64,"34,024,600",2017Q4,,,,
175,12/27/2017,A,2,63,"13,637,988",2017Q4,,,,
176,12/28/2017,A,1,64,"31,858,100",2017Q4,,,,
177,12/28/2017,A,2,50,"8,938,209",2017Q4,,,,
178,12/29/2017,A,2,49,"10,053,779",2017Q4,,,,
179,12/29/2017,A,1,66,"31,762,500",2017Q4,,,,
180,12/30/2017,A,1,46,"24,476,600",2017Q4,,,,
181,12/30/2017,A,2,36,"5,413,389",2017Q4,,,,
182,12/31/2017,A,2,40,"6,325,239",2017Q4,,,,
183,12/31/2017,A,1,44,"20,258,000",2017Q4,,,,
184,1/1/2018,A,1,23,"10,488,500",2018Q1,,,,
185,1/1/2018,A,2,30,"6,041,197",2018Q1,,,,
186,1/2/2018,A,1,65,"36,856,700",2018Q1,,,,
187,1/2/2018,A,2,56,"9,589,370",2018Q1,,,,
188,1/3/2018,A,2,47,"10,114,654",2018Q1,,,,
189,1/3/2018,A,1,73,"41,866,800",2018Q1,,,,
190,1/4/2018,A,1,77,"43,725,050",2018Q1,,,,
191,1/4/2018,A,2,53,"10,570,530",2018Q1,,,,
192,1/5/2018,A,1,67,"39,103,650",2018Q1,,,,
193,1/5/2018,A,2,46,"7,838,410",2018Q1,,,,
194,1/6/2018,A,1,32,"17,539,300",2018Q1,,,,
195,1/6/2018,A,2,34,"7,626,580",2018Q1,,,,
196,1/7/2018,A,2,34,"8,115,656",2018Q1,,,,
197,1/7/2018,A,1,26,"12,471,100",2018Q1,,,,
198,1/8/2018,A,1,45,"23,633,300",2018Q1,,,,
199,1/8/2018,A,2,52,"11,902,590",2018Q1,,,,
200,1/9/2018,A,2,47,"9,072,939",2018Q1,,,,
201,1/9/2018,A,1,47,"25,136,560",2018Q1,,,,
202,1/10/2018,A,2,50,"9,829,396",2018Q1,,,,
203,1/10/2018,A,1,68,"46,770,200",2018Q1,,,,
204,1/11/2018,A,1,87,"52,502,300",2018Q1,,,,
205,1/11/2018,A,2,37,"6,768,090",2018Q1,,,,
206,1/12/2018,A,2,47,"8,074,469",2018Q1,,,,
207,1/12/2018,A,1,65,"49,317,300",2018Q1,,,,
208,1/13/2018,A,2,29,"5,634,280",2018Q1,,,,
209,1/13/2018,A,1,40,"24,583,400",2018Q1,,,,
210,1/14/2018,A,2,30,"5,726,535",2018Q1,,,,
211,1/14/2018,A,1,42,"27,830,000",2018Q1,,,,
212,1/15/2018,A,1,67,"44,544,700",2018Q1,,,,
213,1/15/2018,A,2,49,"9,795,615",2018Q1,,,,
214,1/16/2018,A,2,40,"8,547,465",2018Q1,,,,
215,1/16/2018,A,1,59,"40,047,700",2018Q1,,,,
216,1/17/2018,A,1,57,"36,248,600",2018Q1,,,,
217,1/17/2018,A,2,42,"8,345,950",2018Q1,,,,
218,1/18/2018,A,1,59,"38,170,500",2018Q1,,,,
219,1/18/2018,A,2,43,"7,734,520",2018Q1,,,,
220,1/19/2018,A,2,41,"8,314,905",2018Q1,,,,
221,1/19/2018,A,1,57,"33,469,700",2018Q1,,,,
222,1/20/2018,A,2,33,"7,762,110",2018Q1,,,,
223,1/20/2018,A,1,42,"27,334,200",2018Q1,,,,
224,1/21/2018,A,1,39,"26,014,230",2018Q1,,,,
225,1/21/2018,A,2,31,"6,364,015",2018Q1,,,,
226,1/22/2018,A,1,60,"39,318,100",2018Q1,,,,
227,1/22/2018,A,2,51,"11,244,246",2018Q1,,,,
228,1/23/2018,A,1,68,"38,583,000",2018Q1,,,,
229,1/23/2018,A,2,54,"10,575,185",2018Q1,,,,
230,1/24/2018,A,1,70,"45,051,460",2018Q1,,,,
231,1/24/2018,A,2,47,"9,730,230",2018Q1,,,,
232,1/25/2018,A,1,75,"39,338,860",2018Q1,,,,
233,1/25/2018,A,2,52,"10,828,570",2018Q1,,,,
234,1/26/2018,A,2,51,"9,878,365",2018Q1,,,,
235,1/26/2018,A,1,68,"39,188,000",2018Q1,,,,
236,1/27/2018,A,1,36,"24,252,000",2018Q1,,,,
237,1/27/2018,A,2,40,"8,485,980",2018Q1,,,,
238,1/28/2018,A,2,32,"5,176,690",2018Q1,,,,
239,1/28/2018,A,1,37,"23,318,400",2018Q1,,,,
240,1/29/2018,A,2,56,"12,645,510",2018Q1,,,,
241,1/29/2018,A,1,64,"36,447,950",2018Q1,,,,
242,1/30/2018,A,1,78,"44,593,400",2018Q1,,,,
243,1/30/2018,A,2,55,"12,484,540",2018Q1,,,,
244,1/31/2018,A,1,70,"39,180,000",2018Q1,,,,
245,1/31/2018,A,2,55,"11,517,370",2018Q1,,,,
246,2/1/2018,A,2,59,"14,429,640",2018Q1,,,,
247,2/1/2018,A,1,64,"43,326,600",2018Q1,,,,
248,2/2/2018,A,1,59,"39,139,300",2018Q1,,,,
249,2/2/2018,A,2,48,"10,209,570",2018Q1,,,,
250,2/3/2018,A,2,46,"9,245,076",2018Q1,,,,
251,2/3/2018,A,1,49,"29,375,300",2018Q1,,,,
252,2/4/2018,A,2,40,"9,419,720",2018Q1,,,,
253,2/4/2018,A,1,53,"33,751,700",2018Q1,,,,
254,2/5/2018,A,1,66,"37,967,700",2018Q1,,,,
255,2/5/2018,A,2,63,"12,695,090",2018Q1,,,,
256,2/6/2018,A,1,76,"44,022,100",2018Q1,,,,
257,2/6/2018,A,2,59,"12,022,916",2018Q1,,,,
258,2/7/2018,A,2,56,"11,541,872",2018Q1,,,,
259,2/7/2018,A,1,68,"39,150,200",2018Q1,,,,
260,2/8/2018,A,1,60,"38,269,800",2018Q1,,,,
261,2/8/2018,A,2,54,"11,859,540",2018Q1,,,,
262,2/9/2018,A,2,49,"10,455,036",2018Q1,,,,
263,2/9/2018,A,1,59,"40,215,900",2018Q1,,,,
264,2/10/2018,A,1,51,"31,569,420",2018Q1,,,,
265,2/10/2018,A,2,45,"10,830,650",2018Q1,,,,
266,2/11/2018,A,2,36,"7,453,660",2018Q1,,,,
267,2/11/2018,A,1,39,"23,248,500",2018Q1,,,,
268,2/12/2018,A,2,49,"11,593,436",2018Q1,,,,
269,2/12/2018,A,1,55,"35,828,200",2018Q1,,,,
270,2/13/2018,A,1,37,"24,805,600",2018Q1,,,,
271,2/13/2018,A,2,33,"7,455,000",2018Q1,,,,
272,2/14/2018,A,1,26,"17,541,100",2018Q1,,,,
273,2/14/2018,A,2,24,"6,826,706",2018Q1,,,,
274,2/15/2018,A,1,20,"11,367,300",2018Q1,,,,
275,2/15/2018,A,2,20,"3,995,750",2018Q1,,,,
276,2/16/2018,A,2,31,"5,099,822",2018Q1,,,,
277,2/16/2018,A,1,29,"16,750,700",2018Q1,,,,
278,2/17/2018,A,2,34,"8,366,840",2018Q1,,,,
279,2/17/2018,A,1,35,"22,728,600",2018Q1,,,,
280,2/18/2018,A,2,46,"8,365,518",2018Q1,,,,
281,2/18/2018,A,1,40,"21,326,100",2018Q1,,,,
282,2/19/2018,A,1,49,"24,412,960",2018Q1,,,,
283,2/19/2018,A,2,47,"10,593,190",2018Q1,,,,
284,2/20/2018,A,2,61,"10,637,606",2018Q1,,,,
285,2/20/2018,A,1,60,"32,812,800",2018Q1,,,,
286,2/21/2018,A,1,79,"38,035,300",2018Q1,,,,
287,2/21/2018,A,2,79,"16,922,520",2018Q1,,,,
288,2/22/2018,A,1,95,"50,266,100",2018Q1,,,,
289,2/22/2018,A,2,78,"17,656,020",2018Q1,,,,
290,2/23/2018,A,2,82,"18,215,292",2018Q1,,,,
291,2/23/2018,A,1,94,"47,673,700",2018Q1,,,,
292,2/24/2018,A,1,78,"40,071,050",2018Q1,,,,
293,2/24/2018,A,2,69,"15,686,770",2018Q1,,,,
294,2/25/2018,A,1,69,"38,259,000",2018Q1,,,,
295,2/25/2018,A,2,76,"14,142,680",2018Q1,,,,
296,2/26/2018,A,2,93,"18,133,476",2018Q1,,,,
297,2/26/2018,A,1,97,"47,680,100",2018Q1,,,,
298,2/27/2018,A,1,91,"45,629,800",2018Q1,,,,
299,2/27/2018,A,2,75,"14,496,390",2018Q1,,,,
300,2/28/2018,A,1,91,"53,295,600",2018Q1,,,,
301,2/28/2018,A,2,80,"17,092,948",2018Q1,,,,
302,3/1/2018,A,1,64,"35,078,260",2018Q1,,,,
303,3/1/2018,A,2,71,"14,561,290",2018Q1,,,,
304,3/2/2018,A,2,74,"13,587,150",2018Q1,,,,
305,3/2/2018,A,1,53,"25,180,000",2018Q1,,,,
306,3/3/2018,A,2,57,"11,448,770",2018Q1,,,,
307,3/3/2018,A,1,43,"27,386,400",2018Q1,,,,
308,3/4/2018,A,1,41,"26,170,750",2018Q1,,,,
309,3/4/2018,A,2,61,"12,445,980",2018Q1,,,,
310,3/5/2018,A,2,85,"16,317,476",2018Q1,,,,
311,3/5/2018,A,1,84,"45,589,200",2018Q1,,,,
312,3/6/2018,A,2,77,"16,146,590",2018Q1,,,,
313,3/6/2018,A,1,79,"37,513,800",2018Q1,,,,
314,3/7/2018,A,2,65,"13,624,180",2018Q1,,,,
315,3/7/2018,A,1,80,"41,054,000",2018Q1,,,,
316,3/8/2018,A,2,61,"13,617,255",2018Q1,,,,
317,3/8/2018,A,1,68,"38,806,660",2018Q1,,,,
318,3/9/2018,A,1,67,"42,078,460",2018Q1,,,,
319,3/9/2018,A,2,58,"11,256,540",2018Q1,,,,
320,3/10/2018,A,2,59,"9,798,175",2018Q1,,,,
321,3/10/2018,A,1,46,"26,183,500",2018Q1,,,,
322,3/11/2018,A,2,51,"8,389,155",2018Q1,,,,
323,3/11/2018,A,1,57,"29,512,300",2018Q1,,,,
324,3/12/2018,A,2,75,"14,060,935",2018Q1,,,,
325,3/12/2018,A,1,85,"47,926,263",2018Q1,,,,
326,3/13/2018,A,1,110,"55,853,800",2018Q1,,,,
327,3/13/2018,A,2,82,"16,789,095",2018Q1,,,,
328,3/14/2018,A,2,81,"17,133,040",2018Q1,,,,
329,3/14/2018,A,1,161,"162,781,800",2018Q1,,,,
330,3/15/2018,A,2,82,"15,228,575",2018Q1,,,,
331,3/15/2018,A,1,95,"50,939,900",2018Q1,,,,
332,3/16/2018,A,1,95,"61,965,200",2018Q1,,,,
333,3/16/2018,A,2,73,"12,905,765",2018Q1,,,,
334,3/17/2018,A,1,107,"69,666,200",2018Q1,,,,
335,3/17/2018,A,2,60,"12,910,255",2018Q1,,,,
336,3/18/2018,A,1,113,"94,399,300",2018Q1,,,,
337,3/18/2018,A,2,53,"10,458,405",2018Q1,,,,
338,3/19/2018,A,1,125,"82,418,300",2018Q1,,,,
339,3/19/2018,A,2,79,"14,889,736",2018Q1,,,,
340,3/20/2018,A,1,99,"51,061,100",2018Q1,,,,
341,3/20/2018,A,2,78,"14,898,050",2018Q1,,,,
342,3/21/2018,A,1,98,"57,142,750",2018Q1,,,,
343,3/21/2018,A,2,80,"14,864,400",2018Q1,,,,
344,3/22/2018,A,2,77,"16,827,634",2018Q1,,,,
345,3/22/2018,A,1,94,"55,223,300",2018Q1,,,,
346,3/23/2018,A,1,86,"54,307,873",2018Q1,,,,
347,3/23/2018,A,2,65,"12,417,085",2018Q1,,,,
348,3/24/2018,A,1,70,"46,770,900",2018Q1,,,,
349,3/24/2018,A,2,55,"10,196,911",2018Q1,,,,
350,3/25/2018,A,1,66,"35,298,100",2018Q1,,,,
351,3/25/2018,A,2,56,"11,055,135",2018Q1,,,,
352,3/26/2018,A,1,93,"55,019,600",2018Q1,,,,
353,3/26/2018,A,2,87,"16,183,991",2018Q1,,,,
354,3/27/2018,A,2,81,"14,592,815",2018Q1,,,,
355,3/27/2018,A,1,108,"61,462,030",2018Q1,,,,
356,3/28/2018,A,1,92,"48,981,000",2018Q1,,,,
357,3/28/2018,A,2,84,"13,129,873",2018Q1,,,,
358,3/29/2018,A,2,95,"19,469,290",2018Q1,,,,
359,3/29/2018,A,1,208,"108,569,100",2018Q1,,,,
360,3/30/2018,A,1,101,"52,538,060",2018Q1,,,,
361,3/30/2018,A,2,87,"14,974,300",2018Q1,,,,
362,3/31/2018,A,1,79,"41,622,490",2018Q1,,,,
363,3/31/2018,A,2,64,"11,045,640",2018Q1,,,,
364,4/1/2018,A,1,73,"39,288,500",2018Q2,,,,
365,4/1/2018,A,2,58,"9,346,650",2018Q2,,,,
366,4/2/2018,A,2,82,"15,170,094",2018Q2,,,,
367,4/2/2018,A,1,74,"33,578,820",2018Q2,,,,
368,4/3/2018,A,2,94,"18,079,834",2018Q2,,,,
369,4/3/2018,A,1,85,"44,349,850",2018Q2,,,,
370,4/4/2018,A,1,79,"44,099,350",2018Q2,,,,
371,4/4/2018,A,2,79,"15,484,120",2018Q2,,,,
372,4/5/2018,A,1,111,"61,008,368",2018Q2,,,,
373,4/5/2018,A,2,74,"13,892,812",2018Q2,,,,
374,4/6/2018,A,1,152,"82,258,100",2018Q2,,,,
375,4/6/2018,A,2,74,"13,069,567",2018Q2,,,,
376,4/7/2018,A,1,62,"29,745,000",2018Q2,,,,
377,4/7/2018,A,2,56,"11,912,962",2018Q2,,,,
378,4/8/2018,A,1,63,"28,768,500",2018Q2,,,,
379,4/8/2018,A,2,56,"11,976,150",2018Q2,,,,
380,4/9/2018,A,1,73,"37,835,650",2018Q2,,,,
381,4/9/2018,A,2,77,"16,214,100",2018Q2,,,,
382,4/10/2018,A,1,78,"39,930,300",2018Q2,,,,
383,4/10/2018,A,2,75,"13,125,180",2018Q2,,,,
384,4/11/2018,A,2,79,"15,421,855",2018Q2,,,,
385,4/11/2018,A,1,75,"40,433,960",2018Q2,,,,
386,4/12/2018,A,1,130,"70,082,000",2018Q2,,,,
387,4/12/2018,A,2,69,"14,520,290",2018Q2,,,,
388,4/13/2018,A,2,68,"13,685,015",2018Q2,,,,
389,4/13/2018,A,1,62,"34,423,000",2018Q2,,,,
390,4/14/2018,A,2,52,"10,794,692",2018Q2,,,,
391,4/14/2018,A,1,36,"20,690,500",2018Q2,,,,
392,4/15/2018,A,2,54,"10,200,345",2018Q2,,,,
393,4/15/2018,A,1,36,"28,394,700",2018Q2,,,,
394,4/16/2018,A,2,73,"14,530,074",2018Q2,,,,
395,4/16/2018,A,1,60,"36,323,300",2018Q2,,,,
396,4/17/2018,A,2,78,"16,129,130",2018Q2,,,,
397,4/17/2018,A,1,56,"28,656,600",2018Q2,,,,
398,4/18/2018,A,1,68,"46,456,300",2018Q2,,,,
399,4/18/2018,A,2,81,"16,329,609",2018Q2,,,,
400,4/19/2018,A,1,74,"56,066,200",2018Q2,,,,
401,4/19/2018,A,2,71,"12,728,940",2018Q2,,,,
402,4/20/2018,A,1,163,"94,625,555",2018Q2,,,,
403,4/20/2018,A,2,80,"16,174,862",2018Q2,,,,
404,4/21/2018,A,1,72,"53,420,800",2018Q2,,,,
405,4/21/2018,A,2,68,"15,764,107",2018Q2,,,,
406,4/22/2018,A,2,62,"11,105,360",2018Q2,,,,
407,4/22/2018,A,1,51,"31,289,350",2018Q2,,,,
408,4/23/2018,A,2,78,"16,484,045",2018Q2,,,,
409,4/23/2018,A,1,70,"41,461,600",2018Q2,,,,
410,4/24/2018,A,2,73,"13,765,710",2018Q2,,,,
411,4/24/2018,A,1,97,"51,144,050",2018Q2,,,,
412,4/25/2018,A,1,74,"39,908,700",2018Q2,,,,
413,4/25/2018,A,2,48,"10,600,630",2018Q2,,,,
414,4/26/2018,A,2,75,"14,836,930",2018Q2,,,,
415,4/26/2018,A,1,87,"47,152,700",2018Q2,,,,
416,4/27/2018,A,1,70,"40,102,700",2018Q2,,,,
417,4/27/2018,A,2,58,"10,518,315",2018Q2,,,,
418,4/28/2018,A,1,35,"22,601,000",2018Q2,,,,
419,4/28/2018,A,2,49,"9,588,060",2018Q2,,,,
420,4/29/2018,A,2,42,"8,557,565",2018Q2,,,,
421,4/29/2018,A,1,28,"14,416,200",2018Q2,,,,
422,4/30/2018,A,1,48,"29,113,200",2018Q2,,,,
423,4/30/2018,A,2,49,"13,913,125",2018Q2,,,,
424,5/1/2018,A,2,57,"10,962,400",2018Q2,,,,
425,5/1/2018,A,1,48,"29,628,220",2018Q2,,,,
426,5/2/2018,A,2,86,"17,989,090",2018Q2,,,,
427,5/2/2018,A,1,70,"39,148,200",2018Q2,,,,
428,5/3/2018,A,1,76,"50,799,940",2018Q2,,,,
429,5/3/2018,A,2,130,"22,288,565",2018Q2,,,,
430,5/4/2018,A,2,74,"14,501,710",2018Q2,,,,
431,5/4/2018,A,1,47,"30,087,150",2018Q2,,,,
432,5/5/2018,A,2,65,"12,346,040",2018Q2,,,,
433,5/5/2018,A,1,76,"58,648,720",2018Q2,,,,
